text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
sons of b1tches;bitch;;;sexual orientation / gender;;;1.6;Strong
stupid hoe;hoe;;;sexual orientation / gender;;;2.4;Strong
sumbitch;bitch;;;sexual orientation / gender;;;1.6;Strong
tramp;tramp;;;sexual orientation / gender;;;1.6;Strong
whack off;whack off;;;sexual anatomy / sexual acts;;;1.2;Mild
Tranny;tranny;;;sexual orientation / gender;;;2.8;Severe
transvestite;transvestite;;;sexual orientation / gender;;;2.4;Strong
trashb1tch;bitch;trash;;sexual orientation / gender;;;1.8;Strong
trashbitch;bitch;trash;;sexual orientation / gender;other / general insult;;2;Strong
trashybitches;bitch;;;sexual orientation / gender;;;1.8;Strong
wh0r3;whore;;;sexual orientation / gender;;;2;Strong
wh0re;whore;;;sexual orientation / gender;;;2;Strong
whoar;whore;;;sexual orientation / gender;;;1.8;Strong
whoars;whore;;;sexual orientation / gender;;;2;Strong
wise ass;ass;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
wnker;wank;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
whor3;whore;;;sexual orientation / gender;;;1.8;Strong
whore;whore;;;sexual orientation / gender;;;1.8;Strong
zip in the wire;zipperhead;;;racial / ethnic slurs;;;1.4;Mild
whores;whore;;;sexual orientation / gender;;;2;Strong
